,run,minR,repetition,Module,Packets Sent,SF,TotalEnergyConsumed,TP,X,Y,Clustering_6
11124,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11124],1101,12,0.198426624,2,-1908.0439624798998,3433.1447923321,1
11125,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11125],1356,10,0.0733151232,4,-1188.94737989,1834.9900054102,0
11126,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11126],1310,10,0.070828032,13,1543.0036672310998,995.6868038979599,5
11127,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11127],1170,12,0.21086208,4,-3832.6230440339,-812.98998847536,4
11128,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11128],1405,9,0.042202453333333,13,1497.681958822,962.5705700981,3
11129,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11129],1144,12,0.206176256,9,-723.35514434657,3751.4466320118,4
11130,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11130],1092,12,0.19680460800000002,13,-3916.4783396248,-573.12389029878,1
11131,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11131],1116,12,0.20112998399999998,5,-3691.6960034527,-452.85642561439005,1
11132,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11132],1280,11,0.12582912,7,2045.6449682148002,1600.6351903318,5
11133,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11133],1338,9,0.040189952,3,314.22113180608,1677.4375787181,0
11134,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11134],1438,7,0.013883684571429,2,-245.76774271502998,-7.2151463018722,3
11135,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11135],1386,7,0.013381632,13,-15.241516125725,553.8836134777,0
11136,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11136],1421,7,0.013719552,5,-257.69305027558,-29.881715555214,3
11137,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11137],1373,9,0.041241258666666995,7,-513.40558232924,-1483.1856979351,0
11138,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11138],1317,10,0.0712065024,8,2051.1837225723,790.5820841318599,5
11139,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11139],1140,12,0.20545536,13,-1396.60553667,2931.9220495394,4
11140,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11140],1468,7,0.014173330285713999,10,-61.063572493715,708.31287449586,3
11141,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11141],1127,12,0.203112448,13,3132.7295595303003,-2547.179290958,1
11142,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11142],1153,12,0.207798272,3,-2357.9810729337,-2338.2617550333,4
11143,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11143],1283,11,0.126124032,7,2574.4276054203,-922.11736334736,5
