run,minR,repetition,Module,Packets Sent,SF,TotalEnergyConsumed,TP,X,Y
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8432],585,12,0.10543104,9,1216.2316831276,3843.8536858215
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8433],557,12,0.100384768,4,1528.1441563236,-3349.3928248977
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8434],558,12,0.100564992,4,1975.9126820712,2949.6019658632
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8435],551,12,0.099303424,3,3384.1460646939,943.00060759734
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8436],644,11,0.063307776,9,1521.4472824118,-2098.0141081412
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8437],697,8,0.011776512,3,802.50517495969,793.43802538709
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8438],569,12,0.102547456,2,-800.07053144108,-3161.8697688969
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8439],744,7,0.0071832137142857,3,828.04273167043,406.55235553769
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8440],606,11,0.059572224,11,2784.7779537389,1234.2925746473
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8441],569,12,0.102547456,5,500.02242003721,3384.9995453378
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8442],616,11,0.060555264,13,-1519.5174204909,2072.3081305858
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8443],688,10,0.0371982336,3,556.51610462139,-2109.5316468933
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8444],583,12,0.105070592,4,-522.52612114403,3926.3903902781
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8445],699,9,0.020996096,12,1162.3242633524,-1316.3611142933
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8446],668,9,0.020064938666667,6,-1336.9016504256,-1102.6548284471
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8447],596,11,0.058589184,3,-764.14920809274,-2693.8320434255
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8448],720,9,0.02162688,9,1428.4162208133,-1114.2184156138
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8449],582,12,0.104890368,4,2068.5150342039,3189.0965490101
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8450],652,11,0.064094208,11,-2613.4161603356,-1157.7501039311
