run,minR,repetition,Module,Packets Sent,SFF,TotalEnergyConsumed,TP,X,Y
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9255],551,11,0.099303424,8,4150.536881,885.3171038
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9256],555,11,0.10002432,6,-1605.548042,-2825.918455
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9257],662,8,0.019884715,10,1060.217332,1194.351399
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9258],639,10,0.062816256,4,-2686.675497,-1417.505452
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9259],592,11,0.106692608,6,2913.922026,-2434.008283
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9260],634,10,0.062324736,12,-2654.096608,1137.680217
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9261],529,10,0.095338496,12,3672.850582,-516.1430095
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9262],606,10,0.059572224,7,-2453.224531,-668.4579043
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9263],653,10,0.064192512,2,-2371.858134,654.9648702
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9264],567,11,0.102187008,6,-2195.812151,2764.793695
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9265],701,9,0.037901107,9,1219.063854,-1908.555812
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9266],688,9,0.037198234,13,-2039.577496,-99.91090284
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9267],719,7,0.006941842,10,-448.7789027,550.6260024
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9268],538,11,0.096960512,8,1355.611827,-3550.079182
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9269],527,10,0.094978048,12,1863.003395,-3237.169556
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9270],535,10,0.09641984,6,-3126.44482,-827.487984
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9271],570,11,0.10272768,5,2688.227089,-3222.11783
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9272],683,9,0.036927898,9,1958.423295,229.1014969
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9273],618,11,0.111378432,2,3709.900524,-1531.674493
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9274],677,10,0.066551808,14,594.0510907,2861.466475
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9275],683,9,0.036927898,7,-243.151566,-2080.91375
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9276],561,11,0.101105664,13,1901.70955,2889.806611
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9277],555,11,0.10002432,11,3066.015989,1346.556161
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9278],644,10,0.063307776,9,-3101.364733,320.7332244
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9279],641,10,0.063012864,9,-1138.770394,2584.655155
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9280],734,8,0.022047403,5,-1277.289578,760.9877457
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9281],683,8,0.020515499,12,356.0567155,-1564.514854
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9282],613,10,0.060260352,4,1063.560212,-2835.01506
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9283],613,10,0.060260352,4,-2756.17183,1352.987151
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9284],623,10,0.061243392,13,-1168.13643,2822.809579
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9285],569,11,0.102547456,13,-2950.432934,2719.681019
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9286],587,11,0.105791488,7,1235.075585,3306.365755
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9287],605,10,0.05947392,11,-2505.345868,-1788.512477
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9288],704,9,0.038063309,5,-2279.848728,711.3936763
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9289],690,8,0.02072576,14,1164.156212,-1239.236715
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9290],592,11,0.106692608,12,2538.288005,3271.948008
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9291],696,9,0.037630771,10,1875.622335,-479.1542145
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9292],679,8,0.020395349,6,1264.08236,-777.772556
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9293],642,10,0.063111168,13,-1403.87622,-2003.606025
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9294],717,7,0.006922533,10,627.3678091,780.9434011
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9295],654,10,0.064290816,3,1236.058795,2860.687159
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9296],558,11,0.100564992,8,-511.142684,4033.151113
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9297],658,10,0.064684032,5,-1845.896401,2221.324286
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9298],723,7,0.006980462,6,-239.731323,688.9061832
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9299],578,11,0.104169472,8,1824.908044,-2632.271983
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9300],661,10,0.064978944,2,-811.1019016,2528.554313
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9301],674,8,0.036441293,4,-1779.960825,766.4488616
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9302],553,11,0.099663872,8,-142.0287262,-3759.703473
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9303],719,8,0.021596843,3,379.3220267,1421.513458
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9304],540,11,0.09732096,4,3391.807977,-1240.224089
